Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Wilmar International (US),FMCG,-,-,-,4.55
Yara International ASA (Foreig,Chemicals,-,-,-,3.70
Ingredion INC (USA),FMCG,-,-,-,3.48
Nath Bio Genes (India),FMCG,12.95,2.91,0.00,2.12
Mosaic Company,Chemicals,-,-,-,2.03
Sociedad Quimica y Minera de Chile SA,Chemicals,-,-,-,1.85
Israel Chemicals (Foreign),Chemicals,-,-,-,1.54
Nippon Meat Packers,FMCG,-,-,-,0.64
Golden Agri Resources,FMCG,-,-,-,0.31
12. Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Direct Plan
Tyson Foods,FMCG,-,-,-,7.99
Bunge Ltd. (US),FMCG,-,-,-,7.87
Nutrien,Chemicals,-,-,-,7.52
Archer Daniels Midland (Chicago),FMCG,-,-,-,7.51
CF Industries Holdings Inc(US),FMCG,-,-,-,7.18
Associated British Foods Ltd.,FMCG,-,-,-,7.17
BRF Brasil Foods SA,FMCG,-,-,-,6.15
Deere & Company (USA),Engineering,-,-,-,5.61
Kubota Corp (Foreign),Engineering,-,-,-,5.59
Marine Harvest ASA,FMCG,-,-,-,4.63
Wilmar International (US),FMCG,-,-,-,4.55
Yara International ASA (Foreig,Chemicals,-,-,-,3.70
Ingredion INC (USA),FMCG,-,-,-,3.48
Nath Bio Genes (India),FMCG,12.95,2.91,0.00,2.12
Mosaic Company,Chemicals,-,-,-,2.03
Sociedad Quimica y Minera de Chile SA,Chemicals,-,-,-,1.85
Israel Chemicals (Foreign),Chemicals,-,-,-,1.54
Nippon Meat Packers,FMCG,-,-,-,0.64
Golden Agri Resources,FMCG,-,-,-,0.31
13. Aditya Birla Sun Life Digital India Fund
Infosys,Technology,17.89,33.46,23.22,27.46
Tata Consultancy Services,Technology,23.92,13.13,1.86,10.85
HCL Technologies,Technology,14.96,10.55,8.59,10.19
Tech Mahindra,Technology,16.19,11.19,5.26,7.77
Bharti Airtel,Communication,0.00,9.11,0.00,5.23
Honeywell Automation,Engineering,67.34,5.20,0.00,5.20
Sun TV Network,Services,14.96,7.50,0.00,3.83
Majesco,Technology,22.79,5.12,0.00,3.40
Persistent Systems,Technology,13.35,6.78,1.00,2.51
Apple Inc. (USA),Cons Durable,-,-,-,2.47
MindTree,Technology,19.30,7.38,0.00,2.32
Just Dial,Services,16.25,2.36,0.00,2.28
Cyient,Technology,10.18,6.44,0.40,1.91
Indiamart Intermesh,Services,295.78,2.19,0.00,1.66
Microsoft Corportion (US),Technology,-,-,-,1.61
Sterlite Technologies,Communication,10.73,6.66,0.00,1.55
KPIT Technologies,Technology,49.61,1.33,0.00,1.33
Zee Entertainment,Services,13.11,4.58,0.00,1.26
Cognizant Technology Solutions Corp.,Technology,-,-,-,1.10
Quess Corp,Financial,26.84,1.15,0.00,1.03
Dish TV India,Services,0.00,4.48,0.00,1.00
Affle (India),Communication,70.67,1.49,0.00,0.93
INOX Leisure,Services,29.70,6.11,0.31,0.62
Firstsource Solutions,Services,9.42,2.57,0.00,0.48
Info Edge (India),Services,101.41,1.18,0.00,0.31
14. Aditya Birla Sun Life Digital India Fund - Direct Plan
Infosys,Technology,17.89,33.46,23.22,27.46
Tata Consultancy Services,Technology,23.92,13.13,1.86,10.85
HCL Technologies,Technology,14.96,10.55,8.59,10.19
Tech Mahindra,Technology,16.19,11.19,5.26,7.77
Bharti Airtel,Communication,0.00,9.11,0.00,5.23
Honeywell Automation,Engineering,67.34,5.20,0.00,5.20
Sun TV Network,Services,14.96,7.50,0.00,3.83
Majesco,Technology,22.79,5.12,0.00,3.40
Persistent Systems,Technology,13.35,6.78,1.00,2.51
Apple Inc. (USA),Cons Durable,-,-,-,2.47
MindTree,Technology,19.30,7.38,0.00,2.32
Just Dial,Services,16.25,2.36,0.00,2.28
Cyient,Technology,10.18,6.44,0.40,1.91
Indiamart Intermesh,Services,295.78,2.19,0.00,1.66
Microsoft Corportion (US),Technology,-,-,-,1.61
Sterlite Technologies,Communication,10.73,6.66,0.00,1.55
KPIT Technologies,Technology,49.61,1.33,0.00,1.33
Zee Entertainment,Services,13.11,4.58,0.00,1.26
Cognizant Technology Solutions Corp.,Technology,-,-,-,1.10
Quess Corp,Financial,26.84,1.15,0.00,1.03
Dish TV India,Services,0.00,4.48,0.00,1.00
Affle (India),Communication,70.67,1.49,0.00,0.93
INOX Leisure,Services,29.70,6.11,0.31,0.62
Firstsource Solutions,Services,9.42,2.57,0.00,0.48
Info Edge (India),Services,101.41,1.18,0.00,0.31
15. Aditya Birla Sun Life Dividend Yield Fund
Infosys,Technology,17.89,6.31,0.66,6.02
Hero Motocorp,Automobile,14.46,3.57,0.00,3.46
ITC,FMCG,23.98,5.32,0.00,3.37
HDFC Bank,Financial,29.02,3.31,0.00,3.31
Coal India,Energy,7.07,3.86,0.00,2.97
Mahanagar Gas,Energy,16.18,3.30,2.18,2.77
Orient Refractories Ltd.,Construction,29.30,2.88,1.27,2.76
NTPC,Energy,10.17,3.04,0.00,2.66
Sanofi India,Healthcare,36.35,4.08,1.96,2.57
ICICI Securities,Financial,20.80,2.51,0.00,2.51
Starbucks Corporation (USA),FMCG,-,-,-,2.36
Bharat Electronics,Engineering,14.27,2.30,0.00,2.30
City Union Bank,Financial,21.64,2.26,1.04,2.26
Greaves Cotton,Engineering,19.24,2.75,1.78,2.26
Pfizer,Healthcare,33.57,3.63,1.52,2.26
P&G Hygiene & Health Care,FMCG,91.85,2.83,1.64,2.12
L&T Infotech,Technology,19.26,2.39,0.00,2.03
Tata Consultancy Services,Technology,23.92,2.21,0.00,1.98
Tech Mahindra,Technology,16.19,2.96,0.00,1.92
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.75,2.53,0.00,1.87
NLC India,Energy,6.95,1.85,0.00,1.85
ICICI Bank,Financial,54.53,6.90,0.00,1.82
Avanti Feeds,FMCG,16.93,1.77,0.00,1.77
L'Oreal,FMCG,-,-,-,1.74
Castrol India,Energy,18.18,1.89,0.00,1.72
16. Aditya Birla Sun Life Dividend Yield Fund - Direct Plan
Infosys,Technology,17.89,6.31,0.66,6.02
Hero Motocorp,Automobile,14.46,3.57,0.00,3.46
ITC,FMCG,23.98,5.32,0.00,3.37
HDFC Bank,Financial,29.02,3.31,0.00,3.31
Coal India,Energy,7.07,3.86,0.00,2.97
Mahanagar Gas,Energy,16.18,3.30,2.18,2.77
Orient Refractories Ltd.,Construction,29.30,2.88,1.27,2.76
NTPC,Energy,10.17,3.04,0.00,2.66
Sanofi India,Healthcare,36.35,4.08,1.96,2.57
ICICI Securities,Financial,20.80,2.51,0.00,2.51
Starbucks Corporation (USA),FMCG,-,-,-,2.36
Bharat Electronics,Engineering,14.27,2.30,0.00,2.30
City Union Bank,Financial,21.64,2.26,1.04,2.26
Greaves Cotton,Engineering,19.24,2.75,1.78,2.26
Pfizer,Healthcare,33.57,3.63,1.52,2.26
P&G Hygiene & Health Care,FMCG,91.85,2.83,1.64,2.12
L&T Infotech,Technology,19.26,2.39,0.00,2.03
Tata Consultancy Services,Technology,23.92,2.21,0.00,1.98
Tech Mahindra,Technology,16.19,2.96,0.00,1.92
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.75,2.53,0.00,1.87
NLC India,Energy,6.95,1.85,0.00,1.85
ICICI Bank,Financial,54.53,6.90,0.00,1.82
Avanti Feeds,FMCG,16.93,1.77,0.00,1.77
L'Oreal,FMCG,-,-,-,1.74
Castrol India,Energy,18.18,1.89,0.00,1.72
17. Aditya Birla Sun Life Dual Advantage Fund Series 2 - Direct Plan
Metropolis Healthcare,Healthcare,56.54,1.95,0.00,1.95
ICICI Bank,Financial,54.53,1.74,1.47,1.69
HDFC Bank,Financial,29.02,1.61,1.43,1.58
HDFC,Financial,34.47,1.62,1.43,1.43
State Bank of India,Financial,30.54,1.87,1.37,1.37
Whirlpool,Cons Durable,64.25,0.99,0.76,0.99
Voltas,Cons Durable,47.68,0.87,0.76,0.87
Atul,Chemicals,26.68,0.83,0.72,0.80
Larsen & Toubro,Construction,21.94,0.87,0.73,0.80
Marico,FMCG,43.21,0.79,0.73,0.79
Shree Cement,Construction,53.69,0.90,0.72,0.76
Gruh Finance,Financial,52.02,0.93,0.70,0.75
NTPC,Energy,10.17,0.87,0.71,0.71
Sanofi India,Healthcare,36.35,0.77,0.68,0.71
Hero Motocorp,Automobile,14.46,0.74,0.63,0.71
Castrol India,Energy,18.18,0.79,0.56,0.62
18. Aditya Birla Sun Life Dual Advantage Fund Series 2 - Regular Plan
Metropolis Healthcare,Healthcare,56.54,1.95,0.00,1.95
ICICI Bank,Financial,54.53,1.74,1.47,1.69
HDFC Bank,Financial,29.02,1.61,1.43,1.58
HDFC,Financial,34.47,1.62,1.43,1.43
State Bank of India,Financial,30.54,1.87,1.37,1.37
Whirlpool,Cons Durable,64.25,0.99,0.76,0.99
Voltas,Cons Durable,47.68,0.87,0.76,0.87
Atul,Chemicals,26.68,0.83,0.72,0.80
Larsen & Toubro,Construction,21.94,0.87,0.73,0.80
Marico,FMCG,43.21,0.79,0.73,0.79
Shree Cement,Construction,53.69,0.90,0.72,0.76
Gruh Finance,Financial,52.02,0.93,0.70,0.75
NTPC,Energy,10.17,0.87,0.71,0.71
Sanofi India,Healthcare,36.35,0.77,0.68,0.71
Hero Motocorp,Automobile,14.46,0.74,0.63,0.71
Castrol India,Energy,18.18,0.79,0.56,0.62
19. Aditya Birla Sun Life Equity Advantage Fund - Direct Plan
HDFC Bank,Financial,29.02,9.71,2.99,9.71
ICICI Bank,Financial,54.53,9.10,0.00,8.50
Bajaj Finance,Financial,47.90,5.19,1.26,5.19
Reliance Industries,Energy,21.30,9.20,0.00,4.89
Voltas,Cons Durable,47.68,4.05,1.20,4.05
Crompton Greaves Consumer Electricals,Cons Durable,39.74,3.47,0.00,3.47
Shree Cement,Construction,53.69,3.74,0.00,3.16
Kotak Mahindra Bank,Financial,37.73,3.46,0.00,3.02
The Ramco Cements,Construction,31.46,2.98,0.00,2.98
State Bank of India,Financial,30.54,4.93,0.00,2.90
Info Edge (India),Services,101.41,2.68,0.00,2.35
Axis Bank,Financial,45.74,5.57,0.00,2.23
Natco Pharma,Healthcare,17.36,4.21,1.79,2.22
Bandhan Bank,Financial,30.83,2.58,0.00,2.19
Titan Company,Cons Durable,84.02,2.07,0.00,2.07
Larsen & Toubro,Construction,21.94,2.38,0.00,2.06
Infosys,Technology,17.89,5.23,0.00,2.00
Atul,Chemicals,26.68,1.91,0.00,1.91
Bata India,FMCG,65.80,1.85,0.00,1.85
L&T Infotech,Technology,19.26,2.06,0.00,1.84
Aditya Birla Fashion and Retail,Services,47.95,1.72,0.00,1.72
Thermax,Engineering,39.86,1.64,0.00,1.64
RBL Bank,Financial,13.35,3.93,0.00,1.55
Nestle India,FMCG,86.20,1.48,0.00,1.48
Quess Corp,Financial,26.84,2.37,0.00,1.40
20. Aditya Birla Sun Life Equity Advantage Fund - Regular Plan
HDFC Bank,Financial,29.02,9.71,2.99,9.71
ICICI Bank,Financial,54.53,9.10,0.00,8.50
Bajaj Finance,Financial,47.90,5.19,1.26,5.19
Reliance Industries,Energy,21.30,9.20,0.00,4.89
Voltas,Cons Durable,47.68,4.05,1.20,4.05
Crompton Greaves Consumer Electricals,Cons Durable,39.74,3.47,0.00,3.47
Shree Cement,Construction,53.69,3.74,0.00,3.16
Kotak Mahindra Bank,Financial,37.73,3.46,0.00,3.02
The Ramco Cements,Construction,31.46,2.98,0.00,2.98
State Bank of India,Financial,30.54,4.93,0.00,2.90
Info Edge (India),Services,101.41,2.68,0.00,2.35
Axis Bank,Financial,45.74,5.57,0.00,2.23
Natco Pharma,Healthcare,17.36,4.21,1.79,2.22
Bandhan Bank,Financial,30.83,2.58,0.00,2.19
Titan Company,Cons Durable,84.02,2.07,0.00,2.07
Larsen & Toubro,Construction,21.94,2.38,0.00,2.06
Infosys,Technology,17.89,5.23,0.00,2.00
Atul,Chemicals,26.68,1.91,0.00,1.91
Bata India,FMCG,65.80,1.85,0.00,1.85
L&T Infotech,Technology,19.26,2.06,0.00,1.84
Aditya Birla Fashion and Retail,Services,47.95,1.72,0.00,1.72
Thermax,Engineering,39.86,1.64,0.00,1.64
RBL Bank,Financial,13.35,3.93,0.00,1.55
Nestle India,FMCG,86.20,1.48,0.00,1.48
Quess Corp,Financial,26.84,2.37,0.00,1.40
21. Aditya Birla Sun Life Equity Fund
ICICI Bank,Financial,54.53,9.76,0.00,9.76
HDFC Bank,Financial,29.02,9.67,4.51,9.67
Dr. Reddy's Lab,Healthcare,21.63,4.75,1.33,3.89
Bajaj Finance,Financial,47.90,3.21,1.13,3.21
Larsen & Toubro,Construction,21.94,3.14,0.00,3.14
Sun Pharmaceutical Inds.,Healthcare,32.01,3.81,0.00,3.12
Tech Mahindra,Technology,16.19,4.35,0.00,3.08
ITC,FMCG,23.98,4.59,1.48,3.03
Tata Chemicals,Chemicals,13.17,4.02,2.21,2.96
Infosys,Technology,17.89,4.08,0.91,2.75
Century Textiles & Inds.,Diversified,10.33,2.73,1.57,2.62
PVR,Services,52.70,2.67,0.00,2.53
State Bank of India,Financial,30.54,2.85,0.00,2.49
Tata Steel,Metals,4.79,3.96,0.74,2.35
HCL Technologies,Technology,14.96,3.68,1.10,2.23
Indusind Bank,Financial,22.01,3.30,1.84,2.21
Bharti Airtel,Communication,0.00,2.18,0.00,2.18
Aditya Birla SL Overnight Fund Direct-G,-,-,-,-,1.78
