Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Torrent Pharmaceuticals,Healthcare,58.21,3.46,0.00,1.97
Prestige Estates Projects,Construction,28.59,2.13,0.00,1.97
Exide Industries,Engineering,17.70,2.05,0.00,1.84
Bharti Airtel,Communication,0.00,1.73,0.00,1.73
Bharat Electronics,Engineering,14.22,2.55,0.00,1.70
Cholamandalam Invest. & Fin.,Financial,18.51,1.69,0.00,1.69
ITC,FMCG,24.04,3.61,0.00,1.63
21. HSBC Large Cap Equity Fund
Reliance Industries,Energy,21.20,10.07,4.15,10.07
HDFC Bank,Financial,29.06,10.30,7.93,9.65
ICICI Bank,Financial,54.91,9.90,4.54,9.51
Kotak Mahindra Bank,Financial,37.66,7.46,0.00,7.46
HDFC,Financial,34.48,9.57,2.51,6.73
Infosys,Technology,17.88,7.92,2.81,6.09
ITC,FMCG,24.04,6.61,2.06,5.89
Larsen & Toubro,Construction,21.90,7.11,2.80,5.02
Asian Paints,Chemicals,65.80,4.00,0.00,4.00
Ultratech Cement,Construction,38.23,3.37,0.00,3.28
Axis Bank,Financial,45.64,6.95,0.00,3.11
Hindustan Unilever,FMCG,69.38,3.00,0.00,3.00
SBI Life Insurance Company,Financial,81.79,3.04,0.00,2.56
Bharti Airtel,Communication,0.00,2.56,0.00,2.50
HCL Technologies,Technology,14.95,4.38,1.49,2.45
Indian Hotels,Services,65.94,2.42,0.00,2.42
Tata Consultancy Services,Technology,23.99,5.24,0.00,2.38
DLF,Construction,27.76,2.72,0.00,2.35
MRF,Automobile,24.57,2.26,0.00,1.91
NTPC,Energy,10.16,3.09,0.00,1.42
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.76,2.20,0.00,1.40
Sun Pharmaceutical Inds.,Healthcare,32.00,2.64,0.00,1.18
Lupin,Healthcare,47.02,1.27,0.00,1.08
22. HSBC Large Cap Equity Fund - Direct Plan
Reliance Industries,Energy,21.20,10.07,4.15,10.07
HDFC Bank,Financial,29.06,10.30,7.93,9.65
ICICI Bank,Financial,54.91,9.90,4.54,9.51
Kotak Mahindra Bank,Financial,37.66,7.46,0.00,7.46
HDFC,Financial,34.48,9.57,2.51,6.73
Infosys,Technology,17.88,7.92,2.81,6.09
ITC,FMCG,24.04,6.61,2.06,5.89
Larsen & Toubro,Construction,21.90,7.11,2.80,5.02
Asian Paints,Chemicals,65.80,4.00,0.00,4.00
Ultratech Cement,Construction,38.23,3.37,0.00,3.28
Axis Bank,Financial,45.64,6.95,0.00,3.11
Hindustan Unilever,FMCG,69.38,3.00,0.00,3.00
SBI Life Insurance Company,Financial,81.79,3.04,0.00,2.56
Bharti Airtel,Communication,0.00,2.56,0.00,2.50
HCL Technologies,Technology,14.95,4.38,1.49,2.45
Indian Hotels,Services,65.94,2.42,0.00,2.42
Tata Consultancy Services,Technology,23.99,5.24,0.00,2.38
DLF,Construction,27.76,2.72,0.00,2.35
MRF,Automobile,24.57,2.26,0.00,1.91
NTPC,Energy,10.16,3.09,0.00,1.42
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.76,2.20,0.00,1.40
Sun Pharmaceutical Inds.,Healthcare,32.00,2.64,0.00,1.18
Lupin,Healthcare,47.02,1.27,0.00,1.08
23. HSBC Managed Solutions India - Conservative - Direct Plan
HSBC Income Short Term Dirct-G,-,-,-,-,42.58
IDFC Dynamic Bond Direct Plan A,-,-,-,-,24.16
HSBC Flexi Debt Direct-G,-,-,-,-,16.01
HSBC equity Direct-G,-,-,-,-,10.84
HSBC Income Invest. Direct-G,-,-,-,-,6.01
24. HSBC Managed Solutions India - Conservative - Regular Plan
HSBC Income Short Term Dirct-G,-,-,-,-,42.58
IDFC Dynamic Bond Direct Plan A,-,-,-,-,24.16
HSBC Flexi Debt Direct-G,-,-,-,-,16.01
HSBC equity Direct-G,-,-,-,-,10.84
HSBC Income Invest. Direct-G,-,-,-,-,6.01
25. HSBC Managed Solutions India - Growth - Direct Plan
HSBC equity Direct-G,-,-,-,-,61.94
HSBC Midcap Equity Direct-G,-,-,-,-,20.31
HSBC Income Invest. Direct-G,-,-,-,-,8.88
HSBC Income Short Term Dirct-G,-,-,-,-,8.44
26. HSBC Managed Solutions India - Growth - Regular Plan
HSBC equity Direct-G,-,-,-,-,61.94
HSBC Midcap Equity Direct-G,-,-,-,-,20.31
HSBC Income Invest. Direct-G,-,-,-,-,8.88
HSBC Income Short Term Dirct-G,-,-,-,-,8.44
27. HSBC Managed Solutions India - Moderate - Direct Plan
HSBC equity Direct-G,-,-,-,-,50.58
HSBC Midcap Equity Direct-G,-,-,-,-,16.51
HSBC Income Short Term Dirct-G,-,-,-,-,15.56
HSBC Flexi Debt Direct-G,-,-,-,-,10.96
HSBC Income Invest. Direct-G,-,-,-,-,5.87
28. HSBC Managed Solutions India - Moderate - Regular Plan
HSBC equity Direct-G,-,-,-,-,50.58
HSBC Midcap Equity Direct-G,-,-,-,-,16.51
HSBC Income Short Term Dirct-G,-,-,-,-,15.56
HSBC Flexi Debt Direct-G,-,-,-,-,10.96
HSBC Income Invest. Direct-G,-,-,-,-,5.87
29. HSBC Multi Cap Equity Fund
HDFC Bank,Financial,29.06,10.36,8.81,9.74
ICICI Bank,Financial,54.91,9.89,4.89,9.64
Reliance Industries,Energy,21.20,9.06,3.36,9.06
Kotak Mahindra Bank,Financial,37.66,6.52,0.00,6.52
Bajaj Finance,Financial,48.01,6.42,2.99,6.42
HDFC,Financial,34.48,9.44,0.00,5.60
Larsen & Toubro,Construction,21.90,5.01,0.00,5.01
Infosys,Technology,17.88,6.40,2.33,3.65
ITC,FMCG,24.04,5.27,0.00,3.53
HCL Technologies,Technology,14.95,4.01,1.75,3.06
Indian Hotels,Services,65.94,2.90,0.00,2.90
Axis Bank,Financial,45.64,6.24,0.00,2.33
Orient Electric,Engineering,50.49,2.25,0.00,2.25
Supreme Industries,Chemicals,38.21,2.83,1.48,2.10
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.76,2.10,0.00,2.10
Asian Paints,Chemicals,65.80,2.00,0.00,2.00
ICICI Securities,Financial,20.75,1.99,0.00,1.97
Vinati Organics,Chemicals,36.66,2.63,1.05,1.95
DLF,Construction,27.76,2.03,0.00,1.76
Vedanta,Metals,7.91,4.20,0.00,1.75
Lupin,Healthcare,47.02,1.74,0.00,1.62
Prestige Estates Projects,Construction,28.59,1.59,0.00,1.51
